name,birth,death,age_at_death
John A. Macdonald,1815,1891,76
Alexander Mackenzie,1822,1892,70
John Abbott,1821,1893,72
John Thompson,1845,1894,49
Mackenzie Bowell,1823,1917,94
Charles Tupper,1821,1915,94
Wilfrid Laurier,1841,1919,78
Robert Borden,1854,1937,83
Arthur Meighen,1874,1960,86
William Lyon Mackenzie King,1874,1950,76
R. B. Bennett,1870,1947,77
Louis St. Laurent,1882,1973,91
John Diefenbaker,1895,1979,84
Lester B. Pearson,1897,1972,75
Pierre Trudeau,1919,2000,81
Joe Clark,1939,NA,NA
John Turner,1929,2020,91
Brian Mulroney,1939,NA,NA
Kim Campbell,1947,NA,NA
Jean Chrétien,1934,NA,NA
Paul Martin,1938,NA,NA
Stephen Harper,1959,NA,NA
Justin Trudeau,1971,NA,NA
